year,bspline
0,54
1,53.2312448519235
2,51.4379570690491
3,49.3896031434097
4,47.855649567038
5,47.6055628319668
6,49.408809430229
7,54.0348558538573
8,62.2531685948845
9,74.8332141453434
10,92.5444589972669
11,116.156369642688
12,146.438412573639
13,184.160054282152
14,230.090761260262
15,285
16,349.294481554266
17,421.929895219429
18,501.499174852723
19,586.595254311383
20,675.811067452644
21,767.739548133741
22,860.973630211909
23,954.106247544383
24,1045.7303339884
25,1134.43882340119
26,1218.82464963999
27,1297.48074656204
28,1369.00004802456
29,1431.97548788481
30,1485
31,1527.48412868361
32,1562.10886007405
33,1592.37279076595
34,1621.77451735396
35,1653.81263643271
36,1691.98574459684
37,1739.792438441
38,1800.73131455982
39,1878.30096954794
40,1976
41,2096.04920530478
42,2235.55819602764
43,2390.35878552806
44,2556.28278716553
45,2729.16201429955
46,2904.82828028961
47,3079.11339849519
48,3247.84918227579
49,3406.86744499089
50,3552
51,3679.97633874116
52,3791.11666496663
53,3886.63886050727
54,3967.76080719389
55,4035.70038685733
56,4091.67548132843
57,4136.90397243801
58,4172.60374201691
59,4199.99267189596
60,4220.28864390599
61,4234.70953987783
62,4244.47324164232
63,4250.79763103029
64,4254.90058987257
65,4258
66,4260.93401031866
67,4263.02183803569
68,4263.20296743348
69,4260.41688279441
70,4253.60306840089
71,4241.70100853529
72,4223.65018748001
73,4198.39008951744
74,4164.86019892998
75,4122
76,4069.10325572784
77,4006.88084398555
78,3936.39792136313
79,3858.71964445056
80,3774.91116983784
81,3686.03765411495
82,3593.16425387189
83,3497.35612569864
84,3399.6784261852
85,3301.19631192156
86,3202.97493949771
87,3106.07946550364
88,3011.57504652933
89,2920.52683916479
90,2834
91,2752.65694431581
92,2675.54912215654
93,2601.32524225736
94,2528.63401335343
95,2456.12414417994
96,2382.44434347205
97,2306.24331996494
98,2226.16978239378
99,2140.87243949374
100,2049
101,1950.75202438967
102,1852.53148010767
103,1762.29218634085
104,1687.98796227606
105,1637.57262710016
106,1619
